STA_AWAL;STA_AKHIR;Panjang;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA;No
0+400;0+500;687,89;Jl. Masjid;baik;beton;2;381
0+500;0+600;687,89;Jl. Masjid;sedang;beton;2;376
0+600;0+687;687,89;Jl. Masjid;baik;beton;2;382
0+000;0+100;831,38;Jl. Mawar;baik;beton;2.8;384
0+100;0+200;831,38;Jl. Mawar;baik;beton;2.8;385
0+200;0+300;831,38;Jl. Mawar;baik;beton;2.8;386
0+300;0+400;831,38;Jl. Mawar;baik;beton;2.8;387
0+400;0+500;831,38;Jl. Mawar;baik;beton;2.2;388
0+500;0+600;831,38;Jl. Mawar;baik;beton;2.2;389
0+600;0+700;831,38;Jl. Mawar;baik;beton;2.2;390
0+700;0+800;831,38;Jl. Mawar;baik;beton;2.2;383
0+800;0+831;831,38;Jl. Mawar;baik;beton;2.2;391
0+000;0+100;140,92;Jl. Mawar 1;sedang;aspal;2.7;392
0+100;0+140;140,92;Jl. Mawar 1;sedang;aspal;2.7;393
0+000;0+100;301,03;Jl. Mawar 2;sedang;aspal;2.6;395
0+100;0+200;301,03;Jl. Mawar 2;sedang;aspal;2.6;396
0+200;0+300;301,03;Jl. Mawar 2;sedang;aspal;2.5;394
0+300;0+301;301,03;Jl. Mawar 2;sedang;aspal;2.5;397
0+000;0+100;502,42;Jl. Melati;sedang;beton;2.7;399
0+100;0+200;502,42;Jl. Melati;sedang;beton;2.7;400
0+200;0+300;502,42;Jl. Melati;baik;beton;2.7;401
0+300;0+400;502,42;Jl. Melati;baik;beton;2.5;402
0+400;0+500;502,42;Jl. Melati;baik;beton;2.5;398
0+500;0+502;502,42;Jl. Melati;baik;beton;2.5;403
0+000;0+100;194,24;Jl. Nangka;sedang;beton;2.8;404
0+100;0+194;194,24;Jl. Nangka;sedang;beton;2.8;405
0+000;0+100;125,12;Jl. Panji 1;baik;beton;1.7;406
0+100;0+125;125,12;Jl. Panji 1;baik;beton;1.7;407
0+000;0+100;115,65;Jl. Panji 2;baik;beton;4;408
0+100;0+115;115,65;Jl. Panji 2;sedang;beton;4;409
0+000;0+100;171,00;Jl. Panji 3;sedang;beton;3.5;410
0+100;0+170;171,00;Jl. Panji 3;sedang;beton;3;411
0+000;0+100;230,63;Jl. Patimura;baik;aspal;3.1;413
0+100;0+200;230,63;Jl. Patimura;baik;aspal;3.1;412
0+200;0+230;230,63;Jl. Patimura;baik;aspal;3;414
0+000;0+100;398,53;Jl. Pemuda;baik;aspal;2.8;416
0+100;0+200;398,53;Jl. Pemuda;sedang;aspal;2.8;417
0+200;0+300;398,53;Jl. Pemuda;sedang;aspal;2.8;415
0+300;0+398;398,53;Jl. Pemuda;sedang;aspal;2.8;418
0+000;0+100;102,49;Jl. Pemuda Gang I;baik;aspal;2.8;419
0+100;0+102;102,49;Jl. Pemuda Gang I;baik;beton;2.4;420
0+000;0+100;102,24;Jl. Pemuda Gang II;sedang;beton;3.1;421
0+100;0+102;102,24;Jl. Pemuda Gang II;baik;beton;3.1;422
0+000;0+100;103,05;Jl. Pemuda Gang III;baik;beton;2.8;423
0+100;0+103;103,05;Jl. Pemuda Gang III;baik;beton;2.8;424
0+000;0+100;102,56;Jl. Pemuda Gang IV;baik;beton;3.5;425
0+100;0+102;102,56;Jl. Pemuda Gang IV;baik;beton;3;426
0+000;0+100;100,83;Jl. Pemuda Gang V;sedang;beton;3;427
0+000;0+100;102,60;Jl. Pemuda Gang VI;baik;beton;3;428
0+100;0+102;102,60;Jl. Pemuda Gang VI;baik;beton;2.5;429
0+000;0+100;146,99;Jl. Pemuda Gang VII;baik;beton;3.1;430
0+100;0+146;146,99;Jl. Pemuda Gang VII;baik;beton;2.6;431
0+000;0+052;52,45;Jl. Pemuda Gang VIII;baik;beton;2.9;432
0+000;0+100;171,99;Jl. Pepaya;sedang;aspal;2.3;433
0+100;0+171;171,99;Jl. Pepaya;sedang;aspal;2.3;434
0+000;0+100;133,65;Jl. Petruk;sedang;beton;2.7;435
0+100;0+133;133,65;Jl. Petruk;baik;beton;2.7;436
0+000;0+100;170,08;Jl. Pisang;sedang;aspal;3.5;437
0+000;0+091;91,30;Jl. Pisang;sedang;beton;3.5;439
0+100;0+170;170,08;Jl. Pisang;sedang;beton;3.5;438
0+000;0+100;567,71;Jl. Puntodewo;baik;beton;2.6;441
0+100;0+200;567,71;Jl. Puntodewo;baik;beton;2.6;442
0+200;0+300;567,71;Jl. Puntodewo;baik;beton;2.6;443
0+300;0+400;567,71;Jl. Puntodewo;baik;beton;2.6;444
0+400;0+500;567,71;Jl. Puntodewo;baik;beton;2.7;440
0+500;0+567;567,71;Jl. Puntodewo;baik;beton;2;445
0+000;0+074;74,34;Jl. Puntuk I;baik;beton;2;446
0+000;0+077;77,90;Jl. Puntuk II;sedang;beton;2.2;447
0+000;0+100;311,56;Jl. Rajawali;baik;beton;4;449
0+100;0+200;311,56;Jl. Rajawali;baik;beton;5;450
0+200;0+300;311,56;Jl. Rajawali;baik;beton;5;448
0+300;0+311;311,56;Jl. Rajawali;baik;beton;5;451
0+000;0+100;136,22;Jl. Rajawali Gg.1;baik;beton;4;452
0+100;0+136;136,22;Jl. Rajawali Gg.1;baik;beton;4;453
0+000;0+097;97,03;Jl. Rambutan;baik;aspal;3.5;454
0+000;0+100;220,47;Jl. Remaja;baik;aspal;3;456
0+100;0+200;220,47;Jl. Remaja;RR;aspal;3;455
0+200;0+220;220,47;Jl. Remaja;RR;aspal;3;457
0+000;0+051;51,81;Jl. Remaja Gang 1;baik;beton;2.5;458
0+000;0+052;52,28;Jl. Remaja Gang 2;sedang;beton;3;459
0+000;0+062;62,44;Jl. Remaja Gang 3;baik;beton;2.3;460
0+000;0+100;142,14;Jl. Rukun;baik;beton;3;461
0+100;0+142;142,14;Jl. Rukun;sedang;beton;4;462
0+000;0+100;174,84;Jl. Sadewo;baik;beton;2.6;463
0+100;0+174;174,84;Jl. Sadewo;baik;beton;2.6;464
0+000;0+100;392,04;Jl. Sawung Galing;sedang;aspal;2.7;466
0+100;0+200;392,04;Jl. Sawung Galing;sedang;aspal;2.7;467
0+200;0+300;392,04;Jl. Sawung Galing;sedang;aspal;3;465
0+300;0+392;392,04;Jl. Sawung Galing;sedang;aspal;3;468
0+000;0+100;148,35;Jl. Selo Barong;baik;beton;2.7;469
0+100;0+148;148,35;Jl. Selo Barong;baik;beton;2.7;470
0+000;0+100;107,69;Jl. Semar;sedang;beton;2.5;471
0+100;0+107;107,69;Jl. Semar;sedang;beton;2.5;472
0+000;0+100;106,43;Jl. Sri Dewi;baik;aspal;3;473
0+100;0+106;106,43;Jl. Sri Dewi;sedang;aspal;3;474
0+000;0+100;432,02;Jl. Srikandi;sedang;beton;2.3;476
0+100;0+200;432,02;Jl. Srikandi;sedang;beton;2.3;477
0+200;0+300;432,02;Jl. Srikandi;sedang;beton;2.3;478
0+300;0+400;432,02;Jl. Srikandi;baik;beton;2.3;475
0+400;0+432;432,02;Jl. Srikandi;baik;beton;2;479
0+000;0+100;213,46;Jl. Sukodono (RT.11 RW.5);sedang;beton;2.6;481
0+100;0+200;213,46;Jl. Sukodono (RT.11 RW.5);sedang;beton;2.6;480
0+200;0+213;213,46;Jl. Sukodono (RT.11 RW.5);baik;beton;2.5;482
0+000;0+100;322,08;Jl. Sultan Agung;baik;beton;3;484
0+100;0+200;322,08;Jl. Sultan Agung;baik;beton;3;485
0+200;0+300;322,08;Jl. Sultan Agung;baik;beton;2.4;483
0+300;0+322;322,08;Jl. Sultan Agung;baik;beton;2.2;486
0+000;0+100;400,35;Jl. Tani Jaya;baik;aspal;3;488
0+100;0+200;400,35;Jl. Tani Jaya;sedang;aspal;3;489
0+200;0+300;400,35;Jl. Tani Jaya;sedang;aspal;3;490
0+300;0+400;400,35;Jl. Tani Jaya;sedang;aspal;3;487
0+400;0+400;400,35;Jl. Tani Jaya;sedang;aspal;3;491
0+000;0+100;348,56;Jl. Tani Maju;baik;aspal;3;493
0+100;0+200;348,56;Jl. Tani Maju;baik;aspal;3;494
0+200;0+300;348,56;Jl. Tani Maju;baik;aspal;3;492
0+300;0+348;348,56;Jl. Tani Maju;baik;aspal;3;495
0+000;0+100;578,93;Jl. Tani Murni;baik;beton;3;497
0+100;0+200;578,93;Jl. Tani Murni;baik;beton;3;498
0+200;0+300;578,93;Jl. Tani Murni;baik;beton;3;499
0+300;0+400;578,93;Jl. Tani Murni;RB;beton;3;500
0+400;0+500;578,93;Jl. Tani Murni;RB;aspal;2.5;496
0+500;0+578;578,93;Jl. Tani Murni;baik;beton;2.5;501
0+000;0+100;763,48;Jl. Tani Unggul;sedang;aspal;3;503
0+100;0+200;763,48;Jl. Tani Unggul;sedang;aspal;3;504
0+200;0+300;763,48;Jl. Tani Unggul;sedang;aspal;3;505
0+300;0+400;763,48;Jl. Tani Unggul;sedang;aspal;3;506
0+400;0+500;763,48;Jl. Tani Unggul;RR;aspal;3;507
0+500;0+600;763,48;Jl. Tani Unggul;RR;aspal;3;508
0+600;0+700;763,48;Jl. Tani Unggul;RR;aspal;3;502
0+700;0+763;763,48;Jl. Tani Unggul;RR;aspal;3;509
0+000;0+100;159,94;Jl. Tomat;sedang;beton;2.6;510
0+100;0+159;159,94;Jl. Tomat;sedang;beton;2.6;511
0+000;0+100;138,72;Jl. Werkudoro;baik;beton;3.3;512
0+100;0+138;138,72;Jl. Werkudoro;baik;beton;3.3;513
0+000;0+100;341,85;Jl. Wijaya;baik;aspal;2.5;515
0+100;0+200;341,85;Jl. Wijaya;baik;aspal;2.5;516
0+200;0+300;341,85;Jl. Wijaya;baik;aspal;2.5;514
0+300;0+341;341,85;Jl. Wijaya;baik;aspal;2.5;517
0+000;0+054;54,64;Jl. Wiroto;sedang;beton;2.1;518
0+000;0+095;95,88;Jl. Wiroto II;sedang;beton;2.2;519
0+000;0+100;1500,53;Jl.Antarejo;RR;beton;2.5;521
0+100;0+200;1500,53;Jl.Antarejo;RB;beton;2.5;522
0+200;0+300;1500,53;Jl.Antarejo;RB;makadam;2.5;523
0+300;0+400;1500,53;Jl.Antarejo;RB;makadam;2.5;524
0+400;0+500;1500,53;Jl.Antarejo;RB;makadam;2.5;525
0+500;0+600;1500,53;Jl.Antarejo;RB;makadam;2.5;526
0+600;0+700;1500,53;Jl.Antarejo;RB;makadam;2.5;527
0+700;0+800;1500,53;Jl.Antarejo;RB;makadam;2.5;528
0+800;0+900;1500,53;Jl.Antarejo;RB;makadam;2.5;529
0+900;1+000;1500,53;Jl.Antarejo;baik;beton;3.3;530
1+000;1+100;1500,53;Jl.Antarejo;baik;beton;3.3;531
1+100;1+200;1500,53;Jl.Antarejo;baik;beton;3.3;532
1+200;1+300;1500,53;Jl.Antarejo;baik;beton;3.3;533
1+300;1+400;1500,53;Jl.Antarejo;baik;beton;3.3;534
1+400;1+500;1500,53;Jl.Antarejo;baik;beton;3.3;520
1+500;1+500;1500,53;Jl.Antarejo;baik;beton;3.3;535
0+000;0+100;329,92;Jl.Chery;sedang;beton;2.6;537
0+100;0+200;329,92;Jl.Chery;baik;beton;2.6;538
0+200;0+300;329,92;Jl.Chery;baik;beton;2.6;536
0+300;0+329;329,92;Jl.Chery;baik;beton;2.6;539
0+000;0+100;206,80;Jl.Gang Asem 1;baik;beton;2.3;541
0+100;0+200;206,80;Jl.Gang Asem 1;baik;beton;2.3;540
0+200;0+206;206,80;Jl.Gang Asem 1;baik;beton;2.3;542
0+000;0+100;198,01;Jl.Gang Gatot Kaca 1;sedang;beton;2.4;543
0+100;0+198;198,01;Jl.Gang Gatot Kaca 1;RR;beton;2.4;544
0+000;0+100;117,69;Jl.Gang Gatot Kaca 2;sedang;beton;2.2;545
0+100;0+117;117,69;Jl.Gang Gatot Kaca 2;RR;beton;2.2;546
0+000;0+100;102,35;Jl.Gang Gatot Kaca 3;sedang;beton;1.8;547
0+100;0+102;102,35;Jl.Gang Gatot Kaca 3;sedang;beton;1.8;548
0+000;0+100;128,72;Jl.Gg pisang (RT.3,4 RW.1);sedang;aspal;2.5;549
0+100;0+128;128,72;Jl.Gg pisang (RT.3,4 RW.1);sedang;aspal;2.5;550
0+000;0+100;127,55;Jl.Gg. Kertorejan;baik;beton;2.3;551
0+100;0+127;127,55;Jl.Gg. Kertorejan;baik;beton;2.3;552
0+000;0+096;96,78;Jl.Gg. Timur Kecamatan;baik;beton;3;553
0+000;0+100;1085,94;Jl.Sentiaki;baik;beton;3;555
0+100;0+200;1085,94;Jl.Sentiaki;baik;beton;3.4;556
0+200;0+300;1085,94;Jl.Sentiaki;baik;beton;3;557
0+300;0+400;1085,94;Jl.Sentiaki;baik;beton;3;558
0+400;0+500;1085,94;Jl.Sentiaki;baik;beton;3;559
0+500;0+600;1085,94;Jl.Sentiaki;baik;beton;3;560
0+600;0+700;1085,94;Jl.Sentiaki;baik;beton;3;561
0+700;0+800;1085,94;Jl.Sentiaki;baik;beton;3;562
0+800;0+900;1085,94;Jl.Sentiaki;baik;beton;3;563
0+900;1+000;1085,94;Jl.Sentiaki;baik;beton;3;554
1+000;1+085;1085,94;Jl.Sentiaki;baik;beton;3;564
